p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
9.198,-3.38,-34.659,8.902,-81.844,-34.937,-7.447,14.716,-21.808,-10.102,-101.483,-46.619
9.17,-3.378,-34.643,8.886,-81.847,-34.925,-7.434,14.714,-21.814,-10.106,-101.484,-46.626
9.168,-3.387,-34.669,8.878,-81.855,-34.956,-7.421,14.711,-21.821,-10.109,-101.485,-46.63
9.144,-3.386,-34.669,8.882,-81.869,-34.982,-7.412,14.707,-21.825,-10.096,-101.486,-46.629
9.153,-3.388,-34.735,8.887,-81.891,-34.98,-7.419,14.706,-21.828,-10.1,-101.482,-46.635
9.15,-3.383,-34.728,8.898,-81.911,-34.969,-7.421,14.707,-21.83,-10.103,-101.479,-46.633
9.158,-3.394,-34.716,8.926,-81.933,-34.933,-7.426,14.712,-21.83,-10.116,-101.483,-46.636
9.153,-3.402,-34.745,8.939,-81.953,-34.906,-7.427,14.708,-21.835,-10.12,-101.483,-46.641
9.149,-3.403,-34.743,8.969,-81.949,-34.907,-7.425,14.71,-21.841,-10.115,-101.488,-46.636
9.117,-3.392,-34.74,8.964,-81.94,-34.895,-7.432,14.71,-21.846,-10.111,-101.488,-46.639
9.113,-3.379,-34.706,8.952,-81.946,-34.858,-7.422,14.712,-21.847,-10.114,-101.491,-46.641
9.108,-3.375,-34.72,8.967,-81.948,-34.87,-7.426,14.715,-21.849,-10.11,-101.487,-46.642
9.101,-3.375,-34.677,8.963,-81.948,-34.893,-7.425,14.719,-21.847,-10.103,-101.486,-46.644
9.104,-3.365,-34.652,8.952,-81.941,-34.892,-7.425,14.723,-21.845,-10.114,-101.485,-46.653
9.088,-3.358,-34.67,8.944,-81.94,-34.856,-7.424,14.727,-21.841,-10.118,-101.494,-46.644
9.061,-3.347,-34.644,8.944,-81.939,-34.825,-7.437,14.73,-21.84,-10.123,-101.488,-46.641
9.011,-3.341,-34.665,8.936,-81.939,-34.829,-7.46,14.737,-21.834,-10.13,-101.482,-46.643
8.975,-3.36,-34.64,8.933,-81.928,-34.837,-7.46,14.745,-21.832,-10.134,-101.478,-46.642
8.943,-3.329,-34.642,8.943,-81.933,-34.848,-7.459,14.756,-21.829,-10.159,-101.467,-46.643
8.949,-3.332,-34.677,8.95,-81.931,-34.854,-7.445,14.759,-21.83,-10.168,-101.462,-46.645
8.964,-3.338,-34.666,8.949,-81.94,-34.843,-7.432,14.766,-21.833,-10.168,-101.461,-46.647
8.973,-3.334,-34.682,8.944,-81.954,-34.841,-7.444,14.772,-21.832,-10.168,-101.461,-46.655
8.975,-3.336,-34.679,8.953,-81.954,-34.84,-7.45,14.773,-21.832,-10.165,-101.46,-46.652
8.98,-3.331,-34.683,8.94,-81.968,-34.843,-7.467,14.772,-21.831,-10.174,-101.468,-46.651
8.972,-3.332,-34.667,8.928,-81.986,-34.859,-7.461,14.775,-21.832,-10.189,-101.477,-46.656
8.953,-3.325,-34.722,8.933,-82.005,-34.825,-7.452,14.785,-21.825,-10.205,-101.477,-46.654
8.949,-3.317,-34.717,8.94,-82.052,-34.873,-7.47,14.796,-21.815,-10.213,-101.479,-46.653
