x,y,z,marker
3.972,-25.277,-18.332,0
5.515,-70.333,-34.47,1
-7.975,1.568,-25.747,2
-9.153,-94.973,-46.277,3
3.97,-25.275,-18.332,0
5.513,-70.331,-34.481,1
-7.983,1.564,-25.742,2
-9.159,-94.972,-46.272,3
3.955,-25.277,-18.337,0
5.5,-70.315,-34.484,1
-7.988,1.574,-25.74,2
-9.158,-94.969,-46.274,3
3.932,-25.276,-18.35,0
5.503,-70.318,-34.485,1
-7.977,1.579,-25.742,2
-9.16,-94.968,-46.272,3
3.901,-25.278,-18.355,0
5.486,-70.315,-34.49,1
-7.98,1.577,-25.743,2
-9.163,-94.964,-46.275,3
3.871,-25.274,-18.363,0
5.489,-70.322,-34.486,1
-7.971,1.574,-25.746,2
-9.162,-94.959,-46.278,3
3.872,-25.28,-18.361,0
5.479,-70.315,-34.49,1
-7.962,1.573,-25.749,2
-9.157,-94.964,-46.279,3
3.882,-25.28,-18.364,0
5.463,-70.303,-34.503,1
-7.956,1.575,-25.749,2
-9.166,-94.963,-46.282,3
3.882,-25.292,-18.369,0
5.462,-70.295,-34.51,1
-7.949,1.572,-25.751,2
-9.175,-94.959,-46.281,3
3.883,-25.293,-18.372,0
5.456,-70.28,-34.516,1
-7.939,1.572,-25.754,2
-9.173,-94.963,-46.284,3
3.889,-25.29,-18.375,0
5.44,-70.292,-34.522,1
-7.927,1.573,-25.759,2
-9.175,-94.965,-46.292,3
3.891,-25.291,-18.372,0
5.415,-70.283,-34.529,1
-7.917,1.566,-25.77,2
-9.177,-94.968,-46.289,3
3.888,-25.288,-18.369,0
5.408,-70.282,-34.528,1
-7.909,1.563,-25.775,2
-9.181,-94.963,-46.291,3
3.886,-25.29,-18.377,0
5.412,-70.276,-34.529,1
-7.914,1.56,-25.772,2
-9.186,-94.958,-46.294,3
3.883,-25.298,-18.379,0
5.423,-70.274,-34.534,1
-7.892,1.562,-25.781,2
-9.185,-94.958,-46.292,3
3.872,-25.298,-18.374,0
5.431,-70.272,-34.534,1
-7.881,1.566,-25.783,2
-9.191,-94.96,-46.295,3
3.854,-25.302,-18.371,0
5.446,-70.272,-34.532,1
-7.89,1.569,-25.78,2
-9.192,-94.959,-46.293,3
3.843,-25.3,-18.384,0
5.438,-70.272,-34.527,1
-7.89,1.569,-25.781,2
-9.202,-94.957,-46.291,3
3.845,-25.305,-18.379,0
5.407,-70.264,-34.542,1
-7.895,1.575,-25.779,2
-9.209,-94.958,-46.29,3
3.832,-25.306,-18.376,0
5.393,-70.258,-34.532,1
-7.895,1.575,-25.777,2
-9.209,-94.957,-46.288,3
3.823,-25.31,-18.377,0
5.38,-70.266,-34.544,1
-7.894,1.57,-25.777,2
-9.21,-94.959,-46.289,3
3.8,-25.316,-18.378,0
5.396,-70.271,-34.55,1
-7.894,1.571,-25.779,2
-9.212,-94.967,-46.284,3
3.792,-25.32,-18.375,0
5.403,-70.275,-34.555,1
-7.892,1.569,-25.779,2
-9.215,-94.966,-46.286,3
3.777,-25.333,-18.381,0
5.4,-70.274,-34.571,1
-7.892,1.569,-25.777,2
-9.222,-94.974,-46.284,3
3.752,-25.333,-18.386,0
5.397,-70.263,-34.585,1
-7.898,1.569,-25.776,2
-9.223,-94.972,-46.284,3
3.757,-25.334,-18.385,0
5.391,-70.256,-34.584,1
-7.895,1.572,-25.774,2
-9.223,-94.971,-46.285,3
3.765,-25.333,-18.385,0
5.415,-70.245,-34.594,1
-7.886,1.57,-25.776,2
-9.209,-94.974,-46.284,3
3.766,-25.337,-18.385,0
5.403,-70.25,-34.598,1
-7.887,1.568,-25.774,2
-9.206,-94.973,-46.289,3
3.759,-25.343,-18.392,0
5.398,-70.249,-34.603,1
-7.886,1.569,-25.775,2
-9.198,-94.973,-46.293,3
3.76,-25.345,-18.392,0
5.422,-70.252,-34.611,1
-7.872,1.569,-25.775,2
-9.188,-94.977,-46.293,3
3.754,-25.345,-18.387,0
5.449,-70.259,-34.623,1
-7.883,1.565,-25.775,2
-9.179,-94.982,-46.294,3
3.757,-25.347,-18.387,0
5.432,-70.25,-34.638,1
-7.88,1.566,-25.779,2
-9.18,-94.977,-46.305,3
3.762,-25.347,-18.388,0
5.442,-70.255,-34.646,1
-7.885,1.569,-25.778,2
-9.188,-94.981,-46.299,3
3.758,-25.35,-18.386,0
5.453,-70.255,-34.666,1
-7.884,1.566,-25.78,2
-9.187,-94.98,-46.293,3
3.753,-25.357,-18.391,0
5.432,-70.254,-34.672,1
-7.885,1.565,-25.78,2
-9.193,-94.978,-46.29,3
3.751,-25.361,-18.387,0
5.426,-70.259,-34.675,1
-7.883,1.558,-25.78,2
-9.196,-94.975,-46.288,3
3.747,-25.364,-18.376,0
5.422,-70.251,-34.687,1
-7.886,1.556,-25.78,2
-9.196,-94.975,-46.29,3
3.738,-25.366,-18.366,0
5.409,-70.244,-34.695,1
-7.881,1.557,-25.781,2
-9.199,-94.977,-46.292,3
3.738,-25.371,-18.362,0
5.413,-70.237,-34.683,1
-7.885,1.555,-25.78,2
-9.202,-94.977,-46.291,3
3.723,-25.37,-18.355,0
5.422,-70.241,-34.695,1
-7.885,1.547,-25.78,2
-9.213,-94.972,-46.293,3
3.71,-25.37,-18.349,0
5.436,-70.238,-34.692,1
-7.886,1.542,-25.78,2
-9.221,-94.972,-46.289,3
3.694,-25.37,-18.348,0
5.441,-70.229,-34.7,1
-7.889,1.542,-25.779,2
-9.223,-94.971,-46.287,3
3.683,-25.374,-18.351,0
5.431,-70.222,-34.704,1
-7.884,1.545,-25.781,2
-9.236,-94.968,-46.291,3
3.682,-25.375,-18.351,0
5.415,-70.234,-34.71,1
-7.884,1.544,-25.778,2
-9.236,-94.967,-46.286,3
3.683,-25.381,-18.354,0
5.394,-70.233,-34.721,1
-7.882,1.543,-25.775,2
-9.236,-94.965,-46.292,3
3.671,-25.38,-18.362,0
5.372,-70.23,-34.727,1
-7.881,1.541,-25.77,2
-9.226,-94.968,-46.295,3
3.667,-25.381,-18.365,0
5.369,-70.233,-34.723,1
-7.879,1.539,-25.768,2
-9.22,-94.966,-46.294,3
3.656,-25.382,-18.367,0
5.34,-70.233,-34.735,1
-7.88,1.541,-25.767,2
-9.211,-94.966,-46.293,3
3.655,-25.381,-18.375,0
5.336,-70.23,-34.752,1
-7.875,1.545,-25.765,2
-9.204,-94.969,-46.291,3
3.649,-25.384,-18.387,0
5.322,-70.214,-34.753,1
-7.876,1.547,-25.764,2
-9.199,-94.966,-46.301,3
3.644,-25.386,-18.388,0
5.309,-70.215,-34.761,1
-7.863,1.543,-25.765,2
-9.193,-94.969,-46.302,3
3.645,-25.39,-18.384,0
5.331,-70.224,-34.755,1
-7.847,1.545,-25.764,2
-9.19,-94.973,-46.309,3
3.647,-25.394,-18.389,0
5.335,-70.225,-34.759,1
-7.853,1.546,-25.763,2
-9.185,-94.978,-46.316,3
3.634,-25.401,-18.394,0
5.343,-70.227,-34.77,1
-7.849,1.546,-25.766,2
-9.182,-94.973,-46.31,3
3.627,-25.406,-18.395,0
5.325,-70.232,-34.78,1
-7.85,1.541,-25.764,2
-9.186,-94.971,-46.312,3
3.622,-25.41,-18.401,0
5.326,-70.222,-34.779,1
-7.853,1.542,-25.764,2
-9.193,-94.972,-46.311,3
3.604,-25.412,-18.43,0
5.333,-70.218,-34.784,1
-7.852,1.54,-25.765,2
-9.198,-94.973,-46.314,3
3.589,-25.415,-18.458,0
5.352,-70.219,-34.79,1
-7.864,1.54,-25.766,2
-9.201,-94.972,-46.319,3
3.591,-25.424,-18.47,0
5.362,-70.227,-34.788,1
-7.863,1.536,-25.768,2
-9.201,-94.977,-46.316,3
3.592,-25.428,-18.489,0
5.354,-70.224,-34.786,1
-7.864,1.534,-25.771,2
-9.203,-94.98,-46.308,3
3.585,-25.43,-18.492,0
5.363,-70.216,-34.794,1
-7.864,1.529,-25.77,2
-9.195,-94.982,-46.31,3
3.571,-25.43,-18.509,0
5.361,-70.207,-34.805,1
-7.859,1.526,-25.773,2
-9.194,-94.986,-46.314,3
3.581,-25.437,-18.517,0
5.353,-70.207,-34.813,1
-7.858,1.523,-25.776,2
-9.199,-94.989,-46.314,3
3.588,-25.434,-18.518,0
5.354,-70.205,-34.822,1
-7.86,1.524,-25.78,2
-9.195,-94.995,-46.316,3
3.564,-25.433,-18.535,0
5.368,-70.202,-34.821,1
-7.852,1.516,-25.784,2
-9.19,-94.996,-46.319,3
3.577,-25.432,-18.536,0
5.354,-70.213,-34.828,1
-7.847,1.515,-25.785,2
-9.182,-94.999,-46.32,3
3.594,-25.435,-18.536,0
5.357,-70.225,-34.838,1
-7.85,1.508,-25.781,2
-9.179,-95.004,-46.314,3
3.608,-25.436,-18.536,0
